('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1261    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      156    0.000    0.000    1.347    0.009 ssl.py:1060(recv_into)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
     2473    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      488    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       10    0.000    0.000    0.001    0.000 enum.py:659(<listcomp>)
      468    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       40    0.000    0.000    0.112    0.003 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
     1262    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1694    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1109    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       41    0.000    0.000    0.002    0.000 typing.py:626(__getitem__)
     1342    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      425    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      175    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      152    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      765    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       97    0.000    0.000    0.001    0.000 enum.py:835(__or__)
      765    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1109    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      206    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      736    0.000    0.000    0.000    0.000 element.py:1489(get)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      431    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      372    0.000    0.000    0.000    0.000 types.py:164(__get__)
       45    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      156    0.000    0.000    1.347    0.009 ssl.py:920(read)
  158/157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1361    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    242/3    0.000    0.000    0.609    0.203 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      156    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      125    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       41    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      427    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
     1441    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      140    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
    52/33    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
      408    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      204    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      156    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      205    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      238    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      974    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       40    0.000    0.000    0.112    0.003 client.py:608(_safe_read)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      271    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      344    0.000    0.000    0.114    0.000 re.py:234(compile)
        1    0.000    0.000    0.008    0.008 random.py:38(<module>)
      157    0.000    0.000    0.000    0.000 socket.py:614(readable)
      500    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       79    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      513    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       30    0.000    0.000    0.001    0.000 abc.py:125(__new__)
      870    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      208    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       25    0.000    0.000    0.312    0.012 response.py:776(read_chunked)
      957    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       24    0.000    0.000    0.095    0.004 <frozen importlib._bootstrap_external>:1040(create_module)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      136    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
    46/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.003    0.003 typing.py:19(<module>)
      175    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
      234    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      362    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
    43/18    0.000    0.000    0.359    0.020 {built-in method builtins.__import__}
       69    0.000    0.000    0.002    0.000 typing.py:638(copy_with)
       33    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
       25    0.000    0.000    0.112    0.004 response.py:754(_handle_chunk)
      208    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       12    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.024    0.024 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
       12    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
      206    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       26    0.000    0.000    0.195    0.007 response.py:740(_update_chunk_length)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      156    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       29    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
      160    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      156    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.077    0.077 css_parser.py:1(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:394(_create_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    1.660    1.660 financial.py:10(main)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       37    0.000    0.000    1.236    0.033 {method 'readline' of '_io.BufferedReader' objects}
      202    0.000    0.000    0.000    0.000 enum.py:633(value)
       55    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      378    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      116    0.000    0.000    0.000    0.000 os.py:699(__iter__)
      170    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        3    0.000    0.000    0.000    0.000 socket.py:139(__init__)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
       25    0.000    0.000    0.005    0.000 response.py:397(_decode)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
      346    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
  197/195    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      228    0.000    0.000    0.000    0.000 os.py:758(decode)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       37    0.000    0.000    0.000    0.000 element.py:2011(__init__)
      182    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:631(__init__)
